,Year,Urban population,Rural population,"Population, female","Population, male (% of total population)","Population, total",Population growth (annual %),"Birth rate, crude (per 1,000 people)","Mortality rate, infant (per 1,000 live births)",GDP (current US$),"Inflation, GDP deflator (annual %)",GNI (current US$),Gross national expenditure (current US$),"Total reserves (includes gold, current US$)","Services, value added (current US$)",Merchandise exports (current US$),Merchandise imports (current US$),Military expenditure (current USD),Adjusted savings: education expenditure (current US$),Food production index (2014-2016 = 100)
10,1970,14714216,44576656,27696448,53.28716366,59290872,2.760026536,43.549,142.3,10027509450,3.708353022,9933511425,10301553969,194529622,3718185636,449000000,775000000,635250635.3,99932158.02,20.58
11,1971,15270833,45607948,28496527,53.19136236,60878781,2.642932538,43.445,140,10665896682,5.870490505,10602710263,10960100798,198501968.3,3998950021,492000000,608000000,739410739.4,106027102.6,20.54
12,1972,15848050,46661515,29317529,53.09913291,62509565,2.643489468,43.342,137.8,9415016360,6.774575141,9280297318,9553469950,323798402.1,3610470122,1169000000,1158000000,478207381.8,111363567.8,21.13
13,1973,16502763,47782861,30194373,53.03091092,64285624,2.801644423,43.281,135.9,6383429490,15.30147354,6304783732,6349096756,590281469.8,2450108768,1060000000,1127000000,477624634.2,81962188.52,21.96
14,1974,17202091,48947078,31115326,52.96187923,66149169,2.857629886,43.115,133.9,8899191919,26.07370179,8825591919,9226666667,688502075.4,3546666667,1193000000,2206000000,609191919.2,123558286.9,22.79
15,1975,17945333,50181666,32093585,52.89153277,68126999,2.946126755,43.017,132.2,11230606061,21.09809891,11135306066,12242929293,562995171.9,4755555556,1053000000,2213000000,771161616.2,155894284.9,23.35
16,1976,18738313,51492610,33135180,52.81967176,70230923,3.041511694,42.941,130.6,13168080808,11.5024599,13023880818,14175454545,684140446.8,5471313131,1186000000,2311000000,833181818.2,195358212.3,24.62
17,1977,19578462,52872643,34234632,52.74795188,72451105,3.112320793,43.027,129,15126060606,10.50666589,14945208942,16413939394,715701866.6,6153030303,1213000000,2586000000,913585858.6,224178134.1,25.67
18,1978,20468344,54320986,35393003,52.67639916,74789330,3.17633072,43.117,127.5,17811515152,8.982345696,17630257535,19424747475,795941588.1,7360909091,1634000000,3859000000,1031868687,282084120.6,26.06
19,1979,21453445,55953896,36695434,52.59437474,77407341,3.440639331,43.235,126,19688383838,6.533400072,19454758401,21809595960,1144047213,8265151515,2462000000,4498000000,1181818182,291821376,27.09
20,1980,22627948,57996109,38300711,52.49468654,80624057,4.071545786,43.539,124.5,23654444444,9.008209361,23372307730,26189090909,1567771125,9682323232,2618000000,5350000000,1429292929,350584616,27.51
21,1981,23915883,60354319,40120973,52.39008446,84270202,4.423124791,44.156,123,28100606061,10.07733958,27838462488,30769494949,1455323109,11658484848,2883000000,5631000000,1737373737,361900012.3,29.23
22,1982,25135552,62692646,41898068,52.29542567,87828198,4.135428397,44.567,121.4,30725971564,9.371647737,30403618323,34087867299,1812777233,12788341232,2397000000,5465000000,1852711543,395247038.2,30.3
23,1983,26284885,64795487,43522925,52.21481309,91080372,3.63597147,44.669,119.7,28691889764,5.274083629,28268946910,31654330709,2682849897,12325984252,3077000000,5329000000,1985972402,367496309.8,31.26
24,1984,27356065,66647802,44983988,52.14666116,94003867,3.159359421,44.469,117.9,31151825467,9.653554452,30706971613,34445607005,1610425670,13714455328,2558000000,5853000000,2114435830,429897602.6,31.97
25,1985,28499348,68622204,46536484,52.08428712,97121552,3.262738769,44.245,116.2,31144920844,4.534942787,30636427794,34894261214,1429436612,13737137203,2740000000,5890000000,2143969262,520819272.5,32.85
26,1986,29771009,70847514,48269312,52.02740951,100618523,3.537305855,44.29,114.3,31899070056,3.292000837,31255404417,34391754495,1464868891,14176379417,3384000000,5374000000,2282625019,562597279.5,35.61
27,1987,31101229,73149864,50064842,51.97667424,104251093,3.546597907,44.207,112.5,33351529275,4.518205778,32653162968,35111913778,1440835177,14931255462,4172000000,5822000000,2500172426,685716422.3,36.81
28,1988,32476726,75491112,51899712,51.93039616,107967838,3.503104144,44.011,110.6,38472742808,9.61756065,37638850724,40614354885,1192694259,16982227286,4522000000,6590000000,2721723240,718272388.5,37.41
29,1989,33866278,77804108,53724935,51.88972124,111670386,3.371816359,43.684,108.8,40171105580,8.585048017,39282052964,42692964553,1302246972,17525414250,4709000000,7143000000,2580142638,707075415.8,40.35
30,1990,35289006,80125063,55569854,51.85175041,115414069,3.297471166,43.147,106.9,40010423970,6.451999168,39037984571,42193848455,1046429501,17349413360,5589000000,7376000000,2810101624,741721706.8,41.46
31,1991,36745692,82457877,57435675,51.81715155,119203569,3.230643374,42.531,105,45625336680,13.49241626,44456518200,46308420302,1219792227,19724084286,6528000000,8439000000,3067123794,889128376.6,42.81
32,1992,38030534,84344645,58986038,51.799018,122375179,2.625886811,41.829,102.9,48884672605,10.20140776,47608477438,50419349111,1523790726,21034753179,7317000000,9379000000,3388776373,999776681.4,44.84
33,1993,39332499,86214116,60526987,51.78923223,125546615,2.55855603,40.756,100.8,51809999353,8.838553127,50299060705,54959080215,1995445624,23139638948,6688000000,9500000000,3308760745,1005980243,48.13
34,1994,40818200,88426939,62325262,51.77748078,129245139,2.903377953,40.097,98.6,52293471393,13.02841605,50683427525,53715613193,3715827397,23370216665,7365000000,8889000000,3320617929,1165718510,49.81
35,1995,42379280,90738196,64211200,51.7635085,133117476,2.952111316,39.211,96.3,60636071684,13.00648447,58850709438,62281015745,2527544035,27201809409,7992000000,11461000000,3665932427,1412415879,53.53
36,1996,44041395,93193415,66221856,51.74558335,137234810,3.046138376,38.516,93.9,63320170084,8.373609997,61353055619,66184726002,1307463615,29022791161,9321000000,12131000000,3547799671,1472472235,54.29
37,1997,45717515,95612752,68225605,51.72611964,141330267,2.940607026,37.683,91.5,62433340468,13.38351464,60247042296,65360440011,1794513747,28501425974,8717000000,11596000000,3320238863,1445928086,55.35
38,1998,47403389,98072717,70258836,51.70420839,145476106,2.891238262,37.079,89.2,62191955814,7.526036899,59853183246,62840084822,1625676185,28169955893,8494000000,9308000000,3218881738,1392087901,58.36
39,1999,49074335,100620127,72328261,51.68274094,149694462,2.858444356,36.475,86.9,62973856844,5.86228618,61165856811,63989602581,2117468755,28866060099,8424000000,10207000000,3080764514,1431281024,59.25
40,2000,50914288,103455636,74623871,51.65906022,154369924,3.075552912,35.761,84.8,82017743416,38.51198619,79997743416,82939879198,2087167574,41276907466,9028000000,10864000000,2973072722,1740750897,60.63
41,2001,52828442,106389285,77005059,51.63537349,159217727,3.092079184,35.342,82.9,79484403985,5.310635714,77324403985,80245413947,4218132004,40815389900,9238000000,10191000000,2842046790,1555767008,59.09
42,2002,54497125,108765682,78984415,51.62130589,163262807,2.50885976,34.868,81.1,79904985385,3.729013304,77585985385,79970347515,8795802481,42170802209,9913000000,11233000000,3273401893,1433789010,60.3
43,2003,56037189,110839491,80749416,51.6113246,166876680,2.189388121,34.132,79.6,91760542940,3.258604752,89549542940,91266552843,11815604886,48082533720,11930000000,13038000000,3722814794,1508014303,62.95
44,2004,57646810,113001810,82599094,51.59697512,170648620,2.235149207,33.513,78.1,1.0776E+11,7.330611674,1.05553E+11,1.06747E+11,10718170457,54592774014,13379000000,17949000000,4128195489,1611200000,65.19
45,2005,59255126,115116972,84430090,51.58050458,174372098,2.158492155,32.867,76.8,1.20055E+11,7.83976364,1.17669E+11,1.24298E+11,11109358834,61693936413,16051000000,25357000000,4587117425,2017800000,68.38
46,2006,60871443,117198541,86259841,51.55846086,178069984,2.098513142,32.402,75.5,1.37264E+11,8.872814857,1.34597E+11,1.47441E+11,12878021928,72243896245,16930000000,29825000000,4969197611,2619000000,69.89
47,2007,62558385,119366136,88180519,51.52906298,181924521,2.141523972,32.589,74.2,1.52386E+11,7.274319327,1.48804E+11,1.62384E+11,15798067447,80403996424,17838000000,32590000000,5342575138,2845900000,73.83
48,2008,64313863,121618092,90186327,51.49498267,185931955,2.178889217,32.361,72.9,1.70078E+11,13.20400982,1.66155E+11,1.88497E+11,9024013987,90322448099,20323000000,42329000000,5226678787,3353200000,77.46
49,2009,66149573,123973649,92290019,51.45778773,190123222,2.229162535,32.193,71.6,1.68153E+11,20.66651581,1.63746E+11,1.80395E+11,13606125134,89306685622,17523000000,31668000000,5274564971,3034000000,78.67
50,2010,68053241,126401257,94467014,51.41947604,194454498,2.252579345,32.109,70.2,1.77166E+11,10.85023946,1.73884E+11,1.87506E+11,17255570040,93612587038,21410000000,37807000000,5974613176,2627400000,79.29
51,2011,69912136,128690602,96555715,51.38248547,198602738,2.110834578,31.872,68.7,2.13588E+11,19.64465113,2.10571E+11,2.24281E+11,17697925812,1.08776E+11,25383000000,44012000000,6954787511,3059500000,83.58
52,2012,71597051,130608810,98373877,51.34964115,202205861,1.79797543,31.601,67.1,2.24384E+11,5.968574381,2.21139E+11,2.42362E+11,13688479776,1.15723E+11,24567000000,44105000000,7478971082,3708021629,83.64
53,2013,73126866,132210696,99958919,51.31971081,205337562,1.536897649,31.181,65.5,2.31218E+11,6.965943078,2.27549E+11,2.46893E+11,7651260102,1.20256E+11,25121000000,44647000000,7645455529,4344940556,103.52
54,2014,74593651,133657977,101436628,51.29131572,208251628,1.409182973,30.462,63.9,2.44361E+11,7.411553241,2.40406E+11,2.60039E+11,14306811155,1.26338E+11,24731000000,47590000000,8654923192,4474532556,98.12
55,2015,76003799,134965499,102985590,51.18456051,210969298,1.296551724,29.699,62.2,2.70556E+11,4.110248659,2.65957E+11,2.87996E+11,20027864211,1.41123E+11,22089000000,44168000000,9483482373,5176011179,100.15
56,2016,77368591,136156249,104630327,50.99852176,213524840,1.204055673,29.306,60.6,3.1363E+11,13.00192952,3.08285E+11,3.363E+11,22027605270,1.65432E+11,20375000000,46847000000,9973768059,5534663217,101.73
57,2017,78853074,137526581,106376569,50.83799861,216379655,1.328135434,28.963,59,3.39206E+11,4.029745993,3.34192E+11,3.69832E+11,18455861310,1.80624E+11,21569000000,57746000000,11461253917,6082047491,108.4
58,2018,80566744,139164735,108293156,50.71568421,219731479,1.537172403,28.594,57.4,3.56128E+11,3.841786633,3.50691E+11,3.93388E+11,11837177726,1.88507E+11,23425000000,60078000000,11732131762,6264508916,107.09
59,2019,82410851,140882429,110278237,50.61282722,223293280,1.607981347,28.276,55.9,3.20909E+11,9.036334842,3.15299E+11,3.53398E+11,16586046186,1.72073E+11,23329000000,50332000000,10388318165,5534663217,113.59
60,2020,84437669,142759072,112381099,50.53577815,227196741,1.73302782,27.967,54.4,3.00426E+11,9.944498211,2.94967E+11,3.24818E+11,18521734364,1.61269E+11,21979000000,45837000000,10394502555,5210287351,119.78
61,2021,86636953,144765164,114586264,50.48175596,231402117,1.834062082,27.519,52.8,3.48263E+11,10.21467665,3.43863E+11,3.79375E+11,22811522858,1.81479E+11,28319000000,72489000000,11304829853,,126.52
62,2022,88979079,146845783,116863982,50.44458798,235824862,1.893245598,,,3.76533E+11,12.9990027,3.71237E+11,4.19399E+11,9926587077,1.94084E+11,30936000000,71072000000,,,
